standardized_cluster_component,n,standardized_fold,pEC50_minimum,pEC50_median,pEC50_maximum
1510,1,1,5.355,5.355,5.355
1511,1,4,5.08,5.08,5.08
1512,1,1,5.6,5.6,5.6
1513,1,1,4.65,4.65,4.65
1514,1,1,4.78,4.78,4.78
1515,2,2,1.86,2.565,3.27
1516,1,3,5.26,5.26,5.26
1517,1,1,1.79,1.79,1.79
1518,1,1,4.56,4.56,4.56
1519,1,0,2.77,2.77,2.77
1520,1,0,4.89,4.89,4.89
1521,1,2,4.6,4.6,4.6
1522,1,0,4.65,4.65,4.65
1523,1,0,4.4,4.4,4.4
1524,1,1,5.08,5.08,5.08
1525,1,1,5.2,5.2,5.2
1526,1,1,4.84,4.84,4.84
1527,1,0,1.86,1.86,1.86
1528,1,1,5.3,5.3,5.3
1529,1,2,2.97,2.97,2.97
1530,3,2,2.12,2.51,3.03
1531,1,1,2.93,2.93,2.93
1532,1,1,4.71,4.71,4.71
1533,1,4,4.29,4.29,4.29
1534,1,4,5.74,5.74,5.74
1535,1,0,5.59,5.59,5.59
1536,1,0,4.56,4.56,4.56
1537,1,1,4.31,4.31,4.31
1538,1,1,4.22,4.22,4.22
1539,1,2,4.79,4.79,4.79
1540,1,4,3.98,3.98,3.98
1541,1,4,4.7,4.7,4.7
1542,1,1,3.7,3.7,3.7
1543,1,2,4.96,4.96,4.96
1544,1,3,2.43,2.43,2.43
1545,1,2,5.41,5.41,5.41
1546,1,0,5.31,5.31,5.31
1547,1,4,4.5,4.5,4.5
1548,1,0,4.99,4.99,4.99
1549,1,2,4.65,4.65,4.65
1550,1,4,4.87,4.87,4.87
1551,1,1,5.99,5.99,5.99
1552,1,2,4.24,4.24,4.24
1553,1,3,1.85,1.85,1.85
1554,1,2,5.04,5.04,5.04
1555,1,3,5.25,5.25,5.25
1556,1,0,4.72,4.72,4.72
1557,1,4,4.51,4.51,4.51
1558,2,2,3.09,4.195,5.3
1559,1,2,4.49,4.49,4.49
1560,1,2,5.16,5.16,5.16
1561,1,3,4.66,4.66,4.66
1562,1,0,3.16,3.16,3.16
1563,1,1,4.43,4.43,4.43
1564,1,0,4.61,4.61,4.61
1565,1,4,4.5,4.5,4.5
1566,1,4,4.89,4.89,4.89
1567,1,0,6.205,6.205,6.205
1568,1,3,5.28,5.28,5.28
1569,1,3,4.93,4.93,4.93
1570,1,2,4.93,4.93,4.93
1571,1,1,5.19,5.19,5.19
1572,1,2,5.03,5.03,5.03
1573,1,3,6.13,6.13,6.13
1574,1,4,4.35,4.35,4.35
1575,1,4,5.12,5.12,5.12
1576,1,4,5.48,5.48,5.48
1577,1,0,2.13,2.13,2.13
1578,1,2,1.82,1.82,1.82
1579,1,0,5.16,5.16,5.16
1580,1,2,2.82,2.82,2.82
1581,1,2,5.13,5.13,5.13
1582,1,3,3.47,3.47,3.47
1583,2,2,5.13,5.395,5.66
1584,1,2,4.69,4.69,4.69
1585,1,2,5.69,5.69,5.69
1586,1,4,5.16,5.16,5.16
1587,1,0,5.63,5.63,5.63
1588,1,1,3.65,3.65,3.65
1589,1,0,4.73,4.73,4.73
1590,1,3,1.99,1.99,1.99
1591,1,4,5.55,5.55,5.55
1592,1,3,5.28,5.28,5.28
1593,1,1,3.61,3.61,3.61
1594,1,0,4.86,4.86,4.86
1595,1,2,3.95,3.95,3.95
1596,1,2,5.3,5.3,5.3
1597,1,4,5.67,5.67,5.67
1598,1,2,2.48,2.48,2.48
1599,1,3,4.69,4.69,4.69
1600,1,3,4.85,4.85,4.85
1601,1,0,2.34,2.34,2.34
1602,1,2,5.49,5.49,5.49
1603,1,2,4.68,4.68,4.68
1604,1,1,1.63,1.63,1.63
1605,1,0,5.26,5.26,5.26
1606,1,0,5.08,5.08,5.08
1607,1,4,4.75,4.75,4.75
1608,1,4,5.77,5.77,5.77
1609,1,1,5.62,5.62,5.62
1610,1,4,4.76,4.76,4.76
1611,1,2,4.66,4.66,4.66
1612,1,1,5.42,5.42,5.42
1613,1,2,4.67,4.67,4.67
1614,1,3,5.21,5.21,5.21
1615,1,1,2.82,2.82,2.82
1616,1,4,4.85,4.85,4.85
1617,1,2,4.65,4.65,4.65
1618,1,4,4.13,4.13,4.13
1619,2,0,3.99,4.26,4.53
1620,1,1,4.4,4.4,4.4
1621,1,0,4.21,4.21,4.21
1622,1,0,3.97,3.97,3.97
1623,1,1,4.175,4.175,4.175
1624,1,3,3.34,3.34,3.34
1625,1,4,5.51,5.51,5.51
1626,1,4,5.86,5.86,5.86
1627,1,1,4.32,4.32,4.32
1628,1,2,3.34,3.34,3.34
1629,1,4,4.1,4.1,4.1
1630,1,2,4.6,4.6,4.6
1631,1,3,4.94,4.94,4.94
1632,1,4,4.53,4.53,4.53
1633,1,2,4.64,4.64,4.64
1634,1,0,2.515,2.515,2.515
1635,1,3,3.29,3.29,3.29
1636,1,2,3.27,3.27,3.27
1637,1,0,6.06,6.06,6.06
1638,1,2,3.75,3.75,3.75
1639,1,4,4.77,4.77,4.77
1640,1,2,4.95,4.95,4.95
1641,1,4,6.325,6.325,6.325
1642,1,4,5.04,5.04,5.04
1643,1,3,5.47,5.47,5.47
1644,1,0,4.17,4.17,4.17
1645,1,3,3.53,3.53,3.53
1646,1,1,5.1,5.1,5.1
1647,1,0,5.36,5.36,5.36
1648,1,2,1.82,1.82,1.82
1649,1,2,4.73,4.73,4.73
1650,1,0,4.58,4.58,4.58
1651,1,1,4.2,4.2,4.2
1652,4,1,1.97,3.54,3.9
1653,1,0,2.06,2.06,2.06
1654,1,2,5.85,5.85,5.85
1655,1,4,3.47,3.47,3.47
1656,1,0,4.52,4.52,4.52
1657,1,4,4.94,4.94,4.94
1658,1,4,5.42,5.42,5.42
1659,1,1,1.77,1.77,1.77
1660,1,2,5.18,5.18,5.18
1661,1,1,4.56,4.56,4.56
1662,1,3,4.47,4.47,4.47
1663,1,1,5.42,5.42,5.42
1664,1,0,4.68,4.68,4.68
1665,1,0,5.25,5.25,5.25
1666,1,4,4.67,4.67,4.67
1667,1,1,4.3,4.3,4.3
1668,1,3,4.26,4.26,4.26
1669,1,0,4.46,4.46,4.46
1670,1,3,5.48,5.48,5.48
1671,1,1,4.6,4.6,4.6
1672,1,3,3.25,3.25,3.25
1673,1,2,5.58,5.58,5.58
1674,1,3,3.66,3.66,3.66
1675,1,3,5.14,5.14,5.14
1676,1,2,5.16,5.16,5.16
1677,1,0,3.68,3.68,3.68
1678,1,2,5.35,5.35,5.35
1679,1,0,4.95,4.95,4.95
1680,1,1,4.26,4.26,4.26
1681,1,4,5.47,5.47,5.47
1682,1,4,3.91,3.91,3.91
1683,1,1,4.83,4.83,4.83
1684,1,2,5.04,5.04,5.04
1685,1,2,4.03,4.03,4.03
1686,1,2,5.14,5.14,5.14
1687,1,0,5.36,5.36,5.36
1688,1,2,5.28,5.28,5.28
1689,1,2,5.07,5.07,5.07
1690,1,3,5.15,5.15,5.15
1691,1,2,4.1,4.1,4.1
1692,1,1,5.22,5.22,5.22
1693,1,1,4.84,4.84,4.84
1694,1,4,5.37,5.37,5.37
1695,1,1,3.76,3.76,3.76
1696,1,3,4.73,4.73,4.73
1697,1,2,5.66,5.66,5.66
1698,1,2,4.12,4.12,4.12
1699,1,1,3.87,3.87,3.87
1700,1,3,4.66,4.66,4.66
1701,1,1,3.92,3.92,3.92
1702,1,2,5.18,5.18,5.18
1703,2,1,5.27,5.425,5.58
1704,1,2,4.6,4.6,4.6
1705,1,0,4.61,4.61,4.61
1706,1,2,4.18,4.18,4.18
1707,1,0,3.61,3.61,3.61
1708,1,2,2.86,2.86,2.86
1709,1,3,4.65,4.65,4.65
1710,1,4,5.31,5.31,5.31
1711,2,0,5.37,5.525,5.68
1712,1,0,5.84,5.84,5.84
1713,1,1,5.06,5.06,5.06
1714,1,0,5.07,5.07,5.07
1715,1,0,4.47,4.47,4.47
1716,1,2,5.15,5.15,5.15
1717,1,0,5.0,5.0,5.0
1718,1,0,5.3,5.3,5.3
1719,1,3,3.32,3.32,3.32
1720,1,3,3.57,3.57,3.57
1721,1,1,4.86,4.86,4.86
1722,1,0,4.1,4.1,4.1
1723,1,2,3.16,3.16,3.16
1724,1,4,4.85,4.85,4.85
1725,1,4,3.56,3.56,3.56
1726,1,1,4.41,4.41,4.41
1727,1,3,4.57,4.57,4.57
1728,1,3,4.81,4.81,4.81
1729,1,3,4.65,4.65,4.65
1730,1,4,4.95,4.95,4.95
1731,1,3,4.7,4.7,4.7
1732,1,3,4.83,4.83,4.83
1733,1,3,5.76,5.76,5.76
1734,1,4,4.66,4.66,4.66
1735,1,1,4.77,4.77,4.77
1736,1,3,5.07,5.07,5.07
1737,1,1,5.19,5.19,5.19
1738,1,0,4.8,4.8,4.8
1739,1,2,4.42,4.42,4.42
1740,1,0,3.33,3.33,3.33
1741,1,2,4.41,4.41,4.41
1742,1,2,5.07,5.07,5.07
1743,1,0,4.83,4.83,4.83
1744,1,4,2.6,2.6,2.6
1745,1,0,5.29,5.29,5.29
1746,1,1,5.08,5.08,5.08
1747,1,0,4.81,4.81,4.81
1748,1,1,1.96,1.96,1.96
1749,1,1,4.13,4.13,4.13
1750,1,2,4.21,4.21,4.21
1751,1,0,4.58,4.58,4.58
1752,1,2,3.42,3.42,3.42
1753,1,0,2.65,2.65,2.65
1754,1,2,4.42,4.42,4.42
1755,1,4,4.07,4.07,4.07
1756,1,1,5.68,5.68,5.68
1757,1,3,5.44,5.44,5.44
1758,1,3,5.44,5.44,5.44
1759,1,0,3.33,3.33,3.33
1760,1,1,5.12,5.12,5.12
1761,1,2,4.35,4.35,4.35
1762,1,4,4.65,4.65,4.65
1763,1,0,5.01,5.01,5.01
1764,1,4,4.65,4.65,4.65
1765,1,3,4.8,4.8,4.8
1766,1,3,4.93,4.93,4.93
1767,1,1,5.12,5.12,5.12
1768,1,4,5.91,5.91,5.91
1769,1,3,5.31,5.31,5.31
1770,1,4,4.19,4.19,4.19
1771,1,4,4.72,4.72,4.72
1772,1,1,5.37,5.37,5.37
1773,1,1,5.01,5.01,5.01
1774,1,2,1.85,1.85,1.85
1775,1,2,4.89,4.89,4.89
1776,1,0,4.69,4.69,4.69
1777,1,4,4.6,4.6,4.6
1778,1,2,2.36,2.36,2.36
1779,1,0,4.48,4.48,4.48
1780,1,0,4.78,4.78,4.78
1781,1,2,5.59,5.59,5.59
1782,1,3,2.9,2.9,2.9
1783,1,0,5.82,5.82,5.82
1784,1,3,5.54,5.54,5.54
1785,1,1,1.89,1.89,1.89
1786,1,1,4.88,4.88,4.88
1787,1,2,5.07,5.07,5.07
1788,1,1,3.58,3.58,3.58
1789,1,0,4.2,4.2,4.2
1790,1,4,4.81,4.81,4.81
1791,1,2,6.195,6.195,6.195
1792,1,4,2.82,2.82,2.82
1793,1,2,5.32,5.32,5.32
1794,1,2,4.88,4.88,4.88
1795,1,0,3.98,3.98,3.98
1796,1,1,5.69,5.69,5.69
1797,1,2,5.2,5.2,5.2
1798,1,3,5.08,5.08,5.08
1799,1,2,4.2,4.2,4.2
1800,1,4,6.0,6.0,6.0
1801,1,2,4.21,4.21,4.21
1802,1,4,2.82,2.82,2.82
1803,1,1,1.99,1.99,1.99
1804,1,0,4.94,4.94,4.94
1805,1,3,5.19,5.19,5.19
1806,1,4,5.28,5.28,5.28
1807,1,2,4.35,4.35,4.35
1808,1,0,4.81,4.81,4.81
1809,1,3,3.17,3.17,3.17
1810,1,4,5.04,5.04,5.04
1811,1,0,2.69,2.69,2.69
1812,1,3,4.75,4.75,4.75
1813,1,3,2.05,2.05,2.05
1814,1,3,5.02,5.02,5.02
1815,1,2,5.38,5.38,5.38
1816,1,0,4.7,4.7,4.7
1817,1,2,4.7,4.7,4.7
1818,1,4,5.23,5.23,5.23
1819,1,4,4.46,4.46,4.46
1820,1,1,4.92,4.92,4.92
1821,1,0,3.91,3.91,3.91
1822,1,3,3.6,3.6,3.6
1823,2,2,4.28,4.41,4.54
1824,1,3,4.83,4.83,4.83
1825,1,3,4.55,4.55,4.55
1826,1,2,5.05,5.05,5.05
1827,1,4,3.03,3.03,3.03
1828,1,4,4.38,4.38,4.38
1829,1,4,4.87,4.87,4.87
1830,1,3,4.45,4.45,4.45
1831,1,2,3.6,3.6,3.6
1832,1,0,3.25,3.25,3.25
1833,1,2,4.43,4.43,4.43
1834,1,1,4.48,4.48,4.48
1835,1,0,3.14,3.14,3.14
1836,1,2,4.94,4.94,4.94
1837,1,2,5.71,5.71,5.71
1838,1,3,3.34,3.34,3.34
1839,1,0,4.8,4.8,4.8
1840,1,0,1.74,1.74,1.74
1841,1,2,4.81,4.81,4.81
1842,1,2,4.83,4.83,4.83
1843,1,3,4.2,4.2,4.2
1844,1,3,2.68,2.68,2.68
1845,1,4,5.66,5.66,5.66
1846,1,0,5.81,5.81,5.81
1847,1,4,4.93,4.93,4.93
1848,1,4,4.43,4.43,4.43
1849,2,3,2.83,4.18,5.53
1850,1,2,4.23,4.23,4.23
1851,1,3,5.29,5.29,5.29
1852,1,2,4.78,4.78,4.78
1853,1,0,4.44,4.44,4.44
1854,1,3,4.79,4.79,4.79
1855,1,0,5.52,5.52,5.52
1856,1,4,2.11,2.11,2.11
1857,1,3,4.96,4.96,4.96
1858,1,2,5.2,5.2,5.2
1859,1,4,4.87,4.87,4.87
1860,1,3,4.63,4.63,4.63
1861,1,3,4.19,4.19,4.19
1862,1,0,1.95,1.95,1.95
1863,1,1,5.08,5.08,5.08
1864,1,3,5.64,5.64,5.64
1865,1,1,2.73,2.73,2.73
1866,1,3,4.89,4.89,4.89
1867,1,0,4.95,4.95,4.95
1868,1,2,4.78,4.78,4.78
1869,1,1,2.02,2.02,2.02
1870,1,1,5.16,5.16,5.16
1871,1,2,4.35,4.35,4.35
1872,1,2,3.37,3.37,3.37
1873,1,1,4.46,4.46,4.46
1874,1,3,4.25,4.25,4.25
1875,1,4,3.26,3.26,3.26
1876,1,0,6.23,6.23,6.23
1877,1,2,4.53,4.53,4.53
1878,1,0,2.03,2.03,2.03
1879,1,2,1.62,1.62,1.62
1880,1,4,5.39,5.39,5.39
1881,1,4,5.02,5.02,5.02
1882,1,2,4.17,4.17,4.17
1883,1,3,5.25,5.25,5.25
1884,1,1,4.06,4.06,4.06
1885,1,1,2.61,2.61,2.61
1886,1,2,5.2,5.2,5.2
1887,1,0,4.77,4.77,4.77
1888,1,4,5.56,5.56,5.56
1889,1,0,4.78,4.78,4.78
1890,1,0,4.220000000000001,4.220000000000001,4.220000000000001
1891,1,4,1.9,1.9,1.9
1892,1,1,5.44,5.44,5.44
1893,1,1,3.75,3.75,3.75
1894,1,1,2.2,2.2,2.2
1895,1,0,4.98,4.98,4.98
1896,1,2,1.66,1.66,1.66
1897,1,1,4.45,4.45,4.45
1898,1,0,2.71,2.71,2.71
1899,1,0,5.32,5.32,5.32
1900,1,0,5.98,5.98,5.98
1901,1,2,5.38,5.38,5.38
1902,1,0,5.21,5.21,5.21
1903,1,2,5.43,5.43,5.43
1904,1,0,4.26,4.26,4.26
1905,1,2,4.68,4.68,4.68
1906,1,0,5.52,5.52,5.52
1907,1,4,5.22,5.22,5.22
1908,1,1,5.49,5.49,5.49
1909,1,3,5.0,5.0,5.0
1910,1,4,1.91,1.91,1.91
1911,1,1,5.28,5.28,5.28
1912,1,4,5.23,5.23,5.23
1913,1,1,3.92,3.92,3.92
1914,1,0,3.05,3.05,3.05
1915,1,1,3.25,3.25,3.25
1916,1,0,5.07,5.07,5.07
1917,1,1,3.14,3.14,3.14
1918,1,1,4.87,4.87,4.87
1919,2,1,2.54,3.605,4.67
1920,1,4,5.04,5.04,5.04
1921,1,4,5.15,5.15,5.15
1922,1,2,4.11,4.11,4.11
1923,1,3,5.98,5.98,5.98
1924,1,3,6.15,6.15,6.15
1925,2,1,4.54,4.595000000000001,4.65
1926,1,3,1.95,1.95,1.95
1927,1,4,5.41,5.41,5.41
1928,1,1,4.99,4.99,4.99
1929,1,1,4.64,4.64,4.64
1930,2,2,3.9,4.195,4.49
1931,1,3,3.03,3.03,3.03
1932,1,1,4.72,4.72,4.72
1933,1,4,5.34,5.34,5.34
1934,1,1,4.98,4.98,4.98
1935,1,0,5.88,5.88,5.88
1936,1,1,4.84,4.84,4.84
1937,1,1,5.4,5.4,5.4
1938,1,2,5.24,5.24,5.24
1939,1,2,4.24,4.24,4.24
1940,1,3,4.75,4.75,4.75
1941,1,0,3.77,3.77,3.77
1942,1,4,2.42,2.42,2.42
1943,2,2,1.97,2.5,3.03
1944,1,0,4.74,4.74,4.74
1945,1,3,4.95,4.95,4.95
1946,1,0,4.27,4.27,4.27
1947,1,1,5.04,5.04,5.04
1948,1,0,4.73,4.73,4.73
1949,1,1,5.6,5.6,5.6
1950,1,1,4.44,4.44,4.44
1951,1,1,3.63,3.63,3.63
1952,1,2,5.04,5.04,5.04
1953,1,4,3.8,3.8,3.8
1954,1,1,4.93,4.93,4.93
1955,1,4,2.86,2.86,2.86
1956,1,2,5.79,5.79,5.79
1957,1,3,4.76,4.76,4.76
1958,1,1,4.85,4.85,4.85
1959,1,3,4.68,4.68,4.68
1960,1,1,5.77,5.77,5.77
1961,1,3,3.62,3.62,3.62
1962,1,0,4.96,4.96,4.96
1963,1,3,5.1,5.1,5.1
1964,1,0,4.28,4.28,4.28
1965,1,0,4.41,4.41,4.41
1966,1,1,4.88,4.88,4.88
1967,1,4,4.95,4.95,4.95
1968,1,3,5.27,5.27,5.27
1969,1,1,5.12,5.12,5.12
1970,1,1,3.28,3.28,3.28
1971,1,2,2.1,2.1,2.1
1972,1,4,2.74,2.74,2.74
1973,1,4,4.57,4.57,4.57
1974,1,3,4.22,4.22,4.22
1975,1,2,3.92,3.92,3.92
1976,1,1,2.75,2.75,2.75
1977,1,2,4.71,4.71,4.71
1978,1,1,5.22,5.22,5.22
1979,1,1,4.21,4.21,4.21
1980,1,4,5.4,5.4,5.4
1981,1,1,4.44,4.44,4.44
1982,1,0,5.800000000000001,5.800000000000001,5.800000000000001
1983,3,3,2.9,3.0,3.69
1984,1,2,5.02,5.02,5.02
1985,1,2,4.705,4.705,4.705
1986,1,0,3.1,3.1,3.1
1987,1,1,3.03,3.03,3.03
1988,1,3,4.45,4.45,4.45
1989,1,2,5.78,5.78,5.78
1990,1,4,4.87,4.87,4.87
1991,1,1,5.25,5.25,5.25
1992,1,3,5.6,5.6,5.6
1993,1,4,3.27,3.27,3.27
1994,1,0,2.42,2.42,2.42
1995,1,2,4.59,4.59,4.59
1996,1,1,4.22,4.22,4.22
1997,1,1,1.68,1.68,1.68
1998,1,0,5.03,5.03,5.03
1999,1,0,2.15,2.15,2.15
2000,1,0,3.52,3.52,3.52
2001,1,3,4.86,4.86,4.86
2002,1,0,1.88,1.88,1.88
2003,1,0,5.77,5.77,5.77
2004,1,1,3.34,3.34,3.34
2005,1,0,4.42,4.42,4.42
2006,1,3,4.55,4.55,4.55
2007,1,3,4.6,4.6,4.6
2008,1,2,4.96,4.96,4.96
2009,1,1,4.56,4.56,4.56
2010,1,1,5.44,5.44,5.44
2011,1,2,5.3,5.3,5.3
2012,1,4,4.98,4.98,4.98
2013,1,2,3.49,3.49,3.49
2014,1,0,5.01,5.01,5.01
2015,1,4,3.26,3.26,3.26
2016,1,0,5.6,5.6,5.6
2017,1,3,5.33,5.33,5.33
2018,1,0,5.08,5.08,5.08
2019,1,3,4.79,4.79,4.79
2020,1,4,1.84,1.84,1.84
2021,1,2,4.38,4.38,4.38
2022,1,0,4.87,4.87,4.87
2023,1,3,5.33,5.33,5.33
2024,1,1,1.91,1.91,1.91
2025,1,3,4.38,4.38,4.38
2026,1,4,4.85,4.85,4.85
2027,1,1,4.84,4.84,4.84
2028,1,2,4.87,4.87,4.87
2029,1,4,5.85,5.85,5.85
2030,1,4,4.99,4.99,4.99
2031,1,2,2.55,2.55,2.55
2032,1,4,5.24,5.24,5.24
2033,1,2,5.51,5.51,5.51
2034,1,2,2.64,2.64,2.64
2035,1,3,4.65,4.65,4.65
2036,1,2,5.22,5.22,5.22
2037,1,4,4.82,4.82,4.82
2038,1,0,4.75,4.75,4.75
2039,1,4,2.43,2.43,2.43
2040,1,0,5.61,5.61,5.61
2041,1,4,4.77,4.77,4.77
2042,1,2,4.61,4.61,4.61
2043,1,0,4.72,4.72,4.72
2044,1,2,3.26,3.26,3.26
2045,1,3,3.52,3.52,3.52
2046,1,2,4.48,4.48,4.48
2047,1,2,3.69,3.69,3.69
2048,1,0,5.44,5.44,5.44
2049,1,1,3.46,3.46,3.46
2050,1,4,4.89,4.89,4.89
2051,1,1,3.69,3.69,3.69
2052,1,2,3.48,3.48,3.48
2053,1,4,2.23,2.23,2.23
2054,1,0,5.13,5.13,5.13
2055,1,4,4.78,4.78,4.78
2056,1,1,4.63,4.63,4.63
2057,1,2,4.24,4.24,4.24
2058,1,1,4.63,4.63,4.63
2059,1,1,4.57,4.57,4.57
2060,1,1,4.85,4.85,4.85
2061,1,0,4.77,4.77,4.77
2062,1,1,5.2,5.2,5.2
2063,1,3,4.45,4.45,4.45
2064,1,4,3.5,3.5,3.5
2065,1,1,4.55,4.55,4.55
2066,1,4,2.74,2.74,2.74
2067,1,0,4.96,4.96,4.96
2068,1,0,5.28,5.28,5.28
2069,1,1,4.91,4.91,4.91
2070,1,3,4.56,4.56,4.56
2071,1,1,5.01,5.01,5.01
2072,1,1,4.56,4.56,4.56
2073,1,1,4.95,4.95,4.95
2074,1,1,5.66,5.66,5.66
2075,1,4,5.18,5.18,5.18
2076,1,3,4.98,4.98,4.98
2077,1,3,3.18,3.18,3.18
2078,1,0,6.255,6.255,6.255
2079,1,0,5.02,5.02,5.02
2080,1,0,4.94,4.94,4.94
2081,1,4,3.82,3.82,3.82
2082,1,0,5.39,5.39,5.39
2083,1,0,2.88,2.88,2.88
2084,1,0,3.04,3.04,3.04
2085,1,0,5.14,5.14,5.14
2086,2,0,3.1,3.44,3.78
2087,1,2,5.24,5.24,5.24
2088,1,4,5.98,5.98,5.98
2089,1,4,5.11,5.11,5.11
2090,1,3,5.03,5.03,5.03
2091,1,3,1.83,1.83,1.83
2092,1,0,4.51,4.51,4.51
2093,1,2,2.06,2.06,2.06
2094,1,2,2.14,2.14,2.14
2095,1,0,3.52,3.52,3.52
2096,1,3,5.01,5.01,5.01
2097,1,2,4.58,4.58,4.58
2098,1,1,4.83,4.83,4.83
2099,1,0,6.215,6.215,6.215
2100,1,3,4.75,4.75,4.75
2101,1,2,2.22,2.22,2.22
2102,1,2,4.28,4.28,4.28
2103,1,3,5.3,5.3,5.3
2104,1,3,4.83,4.83,4.83
2105,1,3,6.105,6.105,6.105
2106,1,4,3.4,3.4,3.4
2107,1,1,5.42,5.42,5.42
2108,1,1,2.6,2.6,2.6
2109,1,0,4.62,4.62,4.62
2110,1,1,3.38,3.38,3.38
2111,1,4,3.92,3.92,3.92
2112,1,3,4.93,4.93,4.93
2113,2,0,2.97,3.6100000000000003,4.25
2114,1,4,5.27,5.27,5.27
2115,1,1,5.25,5.25,5.25
2116,1,4,4.53,4.53,4.53
2117,1,1,5.1,5.1,5.1
2118,1,0,4.93,4.93,4.93
2119,1,1,4.62,4.62,4.62
2120,1,2,5.95,5.95,5.95
2121,1,4,5.1,5.1,5.1
2122,1,3,5.33,5.33,5.33
2123,1,3,4.47,4.47,4.47
2124,1,3,5.22,5.22,5.22
2125,1,0,3.66,3.66,3.66
2126,1,0,5.3,5.3,5.3
2127,1,1,5.36,5.36,5.36
2128,1,3,5.16,5.16,5.16
2129,1,3,4.26,4.26,4.26
2130,1,4,5.81,5.81,5.81
2131,1,0,2.19,2.19,2.19
2132,1,0,5.6,5.6,5.6
2133,1,3,4.18,4.18,4.18
2134,2,3,4.13,4.85,5.57
2135,1,0,1.67,1.67,1.67
2136,1,2,3.99,3.99,3.99
2137,1,1,4.46,4.46,4.46
2138,1,3,3.51,3.51,3.51
2139,1,1,5.37,5.37,5.37
2140,1,3,4.89,4.89,4.89
2141,1,4,2.7,2.7,2.7
2142,1,4,4.8,4.8,4.8
2143,1,3,5.32,5.32,5.32
2144,1,1,5.01,5.01,5.01
2145,1,1,5.35,5.35,5.35
2146,1,1,5.57,5.57,5.57
2147,1,3,1.87,1.87,1.87
2148,1,3,4.68,4.68,4.68
2149,1,2,5.99,5.99,5.99
2150,1,3,4.79,4.79,4.79
2151,1,0,4.05,4.05,4.05
2152,1,3,3.49,3.49,3.49
2153,1,4,4.9,4.9,4.9
2154,1,4,4.33,4.33,4.33
2155,1,2,4.51,4.51,4.51
2156,1,4,5.57,5.57,5.57
2157,1,4,2.6,2.6,2.6
2158,1,2,4.0,4.0,4.0
2159,1,2,3.46,3.46,3.46
2160,1,1,4.6,4.6,4.6
2161,1,3,1.76,1.76,1.76
2162,1,3,4.37,4.37,4.37
2163,1,0,5.08,5.08,5.08
2164,1,2,6.37,6.37,6.37
2165,1,1,3.09,3.09,3.09
2166,1,4,5.16,5.16,5.16
2167,1,3,4.76,4.76,4.76
2168,1,2,5.34,5.34,5.34
2169,1,3,5.18,5.18,5.18
2170,1,2,4.01,4.01,4.01
2171,1,4,5.6,5.6,5.6
2172,1,1,6.325,6.325,6.325
2173,1,3,4.91,4.91,4.91
2174,1,2,4.86,4.86,4.86
2175,1,0,4.3,4.3,4.3
2176,1,3,1.77,1.77,1.77
2177,1,3,4.26,4.26,4.26
2178,2,3,3.94,4.41,4.88
2179,1,4,4.94,4.94,4.94
2180,1,0,4.24,4.24,4.24
2181,2,1,3.87,4.35,4.83
2182,1,1,5.955,5.955,5.955
2183,1,0,1.91,1.91,1.91
2184,1,1,4.69,4.69,4.69
2185,1,0,5.1,5.1,5.1
2186,1,2,5.51,5.51,5.51
2187,1,4,3.18,3.18,3.18
2188,1,2,4.63,4.63,4.63
2189,1,2,5.42,5.42,5.42
2190,1,2,4.74,4.74,4.74
2191,1,3,4.81,4.81,4.81
2192,1,4,4.98,4.98,4.98
2193,1,0,5.3,5.3,5.3
2194,1,4,4.63,4.63,4.63
2195,1,2,4.27,4.27,4.27
2196,1,3,3.18,3.18,3.18
2197,1,1,5.17,5.17,5.17
2198,1,3,4.58,4.58,4.58
2199,1,1,5.26,5.26,5.26
2200,1,4,4.91,4.91,4.91
2201,1,4,3.19,3.19,3.19
2202,1,1,4.84,4.84,4.84
2203,1,1,5.28,5.28,5.28
2204,1,1,4.43,4.43,4.43
2205,1,1,5.12,5.12,5.12
2206,1,3,5.02,5.02,5.02
2207,1,2,5.04,5.04,5.04
2208,1,0,5.67,5.67,5.67
2209,1,4,2.74,2.74,2.74
2210,2,1,5.04,5.105,5.17
2211,1,1,5.16,5.16,5.16
2212,1,0,4.38,4.38,4.38
2213,1,0,1.9,1.9,1.9
2214,1,3,3.49,3.49,3.49
2215,1,0,4.07,4.07,4.07
2216,1,0,1.73,1.73,1.73
2217,1,0,5.46,5.46,5.46
2218,1,0,1.78,1.78,1.78
2219,1,2,4.05,4.05,4.05
2220,1,1,5.4,5.4,5.4
2221,1,4,5.28,5.28,5.28
2222,1,0,4.73,4.73,4.73
2223,1,3,4.83,4.83,4.83
2224,1,4,5.4,5.4,5.4
2225,1,3,5.61,5.61,5.61
2226,1,3,4.9,4.9,4.9
2227,1,3,2.81,2.81,2.81
2228,1,3,2.33,2.33,2.33
2229,1,0,4.78,4.78,4.78
2230,1,4,3.2,3.2,3.2
2231,1,0,1.7,1.7,1.7
2232,1,4,2.31,2.31,2.31
2233,1,2,5.15,5.15,5.15
2234,1,3,4.89,4.89,4.89
2235,1,2,3.6,3.6,3.6
2236,1,2,5.44,5.44,5.44
2237,1,4,4.51,4.51,4.51
2238,1,0,4.82,4.82,4.82
2239,1,0,2.4,2.4,2.4
2240,1,2,3.82,3.82,3.82
2241,1,2,5.52,5.52,5.52
